"model_id","cp","maxdepth","RMSE","MAE","R2","PCT_0_5"
"rpart",5e-04,3,0.532736531759735,0.381835776743137,0.440458522627443,0.717996873167872
"rpart",0.001,3,0.532736531759735,0.381835776743137,0.440458522627443,0.717996873167872
"rpart",0.005,3,0.534624582120529,0.37978500593199,0.436697497496445,0.706120122467592
"rpart",0.01,3,0.534698848245952,0.376591317644762,0.436786548819344,0.708238985516687
"rpart",5e-04,5,0.51644442377004,0.376364013045282,0.471228831115937,0.736317503745684
"rpart",0.001,5,0.515954679011402,0.375644609709599,0.472076440890742,0.736317503745684
"rpart",0.005,5,0.512000529678252,0.367805573640573,0.48154260407962,0.733619091047272
"rpart",0.01,5,0.528793661244424,0.373472577649662,0.448715487134344,0.719556163550692
"rpart",5e-04,8,0.527953127288148,0.392333815236625,0.449122351022537,0.717906108179706
"rpart",0.001,8,0.526319240230247,0.389820696798365,0.452408389333051,0.717906108179706
"rpart",0.005,8,0.514418267206649,0.369628586904301,0.476572762209225,0.733619091047272
"rpart",0.01,8,0.526577839903629,0.37241375412025,0.452902855555396,0.719556163550692
"rpart",5e-04,12,0.532069932398118,0.400279813265611,0.440103505412613,0.743377630121816
"rpart",0.001,12,0.530303039797867,0.394458690153335,0.444182441975616,0.736504896532256
"rpart",0.005,12,0.518078817896648,0.371080387136589,0.468855520600714,0.736000043428224
"rpart",0.01,12,0.526577839903629,0.37241375412025,0.452902855555396,0.719556163550692
